donorID,gender,year,Population / km²,donations,months as donor,frequency,months since gift,avg donation,donates outside campaign,donors/1000 in area,region_Brussels,region_Flanders,region_Wallonia,province_Antwerp,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Namur,province_Walloon Brabant,province_West Flanders,lang_EN,lang_FR,lang_NL
100152,1.0,1941.0,1940.6747204462074,1.0,0.0,0.0,53.0,5.0,0.0,1.9059720457433291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100155,1.0,1944.0,8929.075642622507,5.0,28.0,0.17857142857142858,105.0,28.958,0.0,1.1014585442981755,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100158,1.0,1968.0,1940.6747204462074,5.0,15.0,0.3333333333333333,125.0,34.79,0.0,1.9059720457433291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100159,1.0,1976.0,322.1409858638898,2.0,3.0,0.6666666666666666,69.0,4.5,0.0,0.15856998702609196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100160,0.0,1975.0,1940.6747204462074,2.0,4.0,0.5,37.0,30.0,0.0,1.9059720457433291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100164,0.0,1953.0,3631.0100609820233,11.0,38.0,0.2894736842105263,34.0,38.81818181818182,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100166,1.0,1993.0,3631.0100609820233,1.0,0.0,0.0,53.0,40.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100167,1.0,1968.0,3631.0100609820233,1.0,0.0,0.0,53.0,5.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100168,0.0,1956.0,3631.0100609820233,4.0,31.0,0.12903225806451613,41.0,32.75,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100169,0.0,1947.0,3631.0100609820233,1.0,0.0,0.0,43.0,32.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100170,0.0,1991.0,3631.0100609820233,2.0,3.0,0.6666666666666666,43.0,40.0,1.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100171,0.0,1989.0,1964.7234295311239,1.0,0.0,0.0,43.0,5.0,0.0,0.009887920422016442,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100172,0.0,1955.0,3631.0100609820233,1.0,0.0,0.0,43.0,30.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100173,0.0,1975.0,3631.0100609820233,1.0,0.0,0.0,43.0,10.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100174,0.0,1969.0,564.1072855089914,1.0,0.0,0.0,76.0,25.0,0.0,5.826083533440932,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100175,0.0,1976.0,3631.0100609820233,1.0,0.0,0.0,77.0,100.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100176,0.0,1976.0,3631.0100609820233,1.0,0.0,0.0,43.0,15.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100177,0.0,1941.0,8929.075642622507,7.0,20.0,0.35,55.0,7.142857142857143,0.0,1.1014585442981755,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100178,0.0,1988.0,3631.0100609820233,1.0,0.0,0.0,43.0,50.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100179,0.0,1969.0,3631.0100609820233,1.0,0.0,0.0,43.0,39.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100181,1.0,1930.0,3631.0100609820233,1.0,0.0,0.0,53.0,39.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100183,0.0,1967.0,3631.0100609820233,1.0,0.0,0.0,76.0,80.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100186,0.0,1978.0,8929.075642622507,2.0,10.0,0.2,33.0,30.0,0.0,1.1014585442981755,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100190,1.0,1934.0,8929.075642622507,10.0,132.0,0.07575757575757576,49.0,41.268,1.0,1.1014585442981755,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100196,1.0,1988.0,7764.8380559838515,1.0,0.0,0.0,72.0,36.0,0.0,1.941404871161313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100201,0.0,1961.0,7764.8380559838515,1.0,0.0,0.0,43.0,5.0,0.0,1.941404871161313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100207,1.0,1972.0,141.02443470007097,1.0,0.0,0.0,73.0,35.0,0.0,0.5467468562055768,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
100208,0.0,1988.0,7764.8380559838515,2.0,10.0,0.2,32.0,10.0,0.0,1.941404871161313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100211,1.0,1979.0,7764.8380559838515,1.0,0.0,0.0,76.0,36.0,0.0,1.941404871161313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100213,0.0,1981.0,4678.100930832918,2.0,52.0,0.038461538461538464,0.0,25.5,0.0,3.442999234889059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100215,0.0,1959.0,5494.241531424213,2.0,2.0,1.0,125.0,27.395,0.0,0.3962008738430384,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100216,1.0,1963.0,5494.241531424213,2.0,8.0,0.25,68.0,30.0,0.0,0.3962008738430384,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100217,0.0,1950.0,816.9116190263932,2.0,72.0,0.027777777777777776,0.0,68.0,1.0,0.9012675892545645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
100220,1.0,1973.0,299.4303444905752,2.0,19.0,0.10526315789473684,34.0,39.5,0.0,2.1061499578770007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
100221,1.0,1974.0,7764.8380559838515,2.0,23.0,0.08695652173913043,29.0,50.0,0.0,1.941404871161313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
